"Status","Suburb","Place","Date","Arrival.Time","Departure.Time","table","type","lat","lon"
"","Casey","Sushi Island, 15/22 Kingsland Parade","Tuesday 10 August 2021","4:00pm","4:15pm","Casual Contacts","Casual Contacts ",-35.1744274,149.0956353
"","Canberra City","David Jones Canberra Centre, 148 Bunda Street","Tuesday 10 August 2021","5:15pm","6:00pm","Casual Contacts","Casual Contacts ",-35.2797785,149.1328569
"","Belconnen","TLE Electrical & Data supplies, 22-36 Oatley Court","Wednesday 11 August 2021","7:45am","8:30am","Casual Contacts","Casual Contacts ",-35.24167,149.058
"","Kingston","Abode Hotel, 14 Kennedy Street(Floors 1, 2 and 3)","Wednesday 11 August 2021","7:50am","11:59pm","Casual Contacts","Casual Contacts ",-35.31713,149.14108
"","Nicholls","Holy Spirit Catholic Primary School, 26 Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","Wednesday 11 August 2021","8:00am","5:00pm","Casual Contacts","Casual Contacts ",-35.180284,149.1011436
"","Deakin","EQ Café and Lounge, 70 Kent Street","Wednesday 11 August 2021","6:30am","4:00pm","Casual Contacts","Casual Contacts ",-35.3204751,149.0973981
"","Deakin","EQ Bakehouse, 70 Kent Street","Wednesday 11 August 2021","7:00am","4:00pm","Casual Contacts","Casual Contacts ",-35.3204751,149.0973981
"","Casey","Sushi Island, 15/22 Kingsland Parade","Wednesday 11 August 2021","1:00pm","1:10pm","Casual Contacts","Casual Contacts ",-35.1744274,149.0956353
"","Casey","Supabarn Casey, 15 Kingsland Parade","Wednesday 11 August 2021","1:05pm","1:30pm","Casual Contacts","Casual Contacts ",-35.1741413,149.0960254
"","Charnwood","Woolworths Charnwood, 25-30 Charnwood Place","Wednesday 11 August 2021","6:30pm","7:10pm","Casual Contacts","Casual Contacts ",-35.2045295,149.0328578
"","Greenway","Southern Cross Club Stadium, 7 Pitman Street","Wednesday 11 August 2021","7:00pm","9:00pm","Casual Contacts","Casual Contacts ",-35.4155197,149.0634307
"","Kingston","Abode Hotel, 14 Kennedy Street(Floors 1, 2 and 3)","Thursday 12 August 2021","12:00am","7:00pm","Casual Contacts","Casual Contacts ",-35.31713,149.14108
"","Belconnen","TLE Electrical & Data supplies, 22-36 Oatley Court","Thursday 12 August 2021","7:30am","8:15am","Casual Contacts","Casual Contacts ",-35.24167,149.058
"","Belconnen","Coles Express Belconnen (Petrol Station), Lathlain Street and Wignall Place","Thursday 12 August 2021","7:50am","8:10am","Casual Contacts","Casual Contacts ",-35.242649,149.063986
"","Nicholls","Holy Spirit Catholic Primary School, 26 Kelleway Avenue(including Early Childhood Learning Centre)FAQs for schools","Thursday 12 August 2021","8:00am","3:10pm","Casual Contacts","Casual Contacts ",-35.180284,149.1011436
"","Deakin","EQ Bakehouse, 70 Kent Street","Thursday 12 August 2021","7:00am","10:00am","Casual Contacts","Casual Contacts ",-35.3204751,149.0973981
"","Amaroo","Coles Amaroo, Horse Park Drive","Friday 13 August 2021","11:30am","1pm","Casual Contacts","Casual Contacts ",-35.1646128,149.1317816
"","Amaroo","Liquorland Amaroo, Horse Park Drive","Friday 13 August 2021","12pm","12.30pm","Casual Contacts","Casual Contacts ",-35.1647474,149.1320463
"","Casey","7 eleven Casey, petrol station, 10 Kingsland Parade","Saturday 14 August 2021","7.30am","8.15am","Casual Contacts","Casual Contacts ",-35.175773,149.0957326
"","Majura Park","Bunnings Warehouse Canberra Airport, 971 Majura Rd, Majura Park","Monday 9 August 2021","9:00am","10.30am","Casual Contacts","Casual Contacts ",-35.293175,149.191257
"","Belconnen","Basketball ACT, Basketball & Sports Centre, 42 Oatley Ct, Belconnen","Tuesday 10 August 2021","12:00pm","3:00pm","Casual Contacts","Casual Contacts ",-35.2420057,149.0575179
"","Weston","Woolworths Weston Creek, Cooleman Court Shopping Centre, Brierly St, Weston","Friday 13 August 2021","6.20pm","7:00pm","Casual Contacts","Casual Contacts ",-35.340765,149.052681
"","Weston","ALDI Weston Creek, Cooleman Court Shopping Centre, Brierly St, Weston","Friday 13 August 2021","6:00pm","6.30pm","Casual Contacts","Casual Contacts ",-35.3414467,149.0525899
"","Belconnen","Basketball ACT, Basketball & Sports Centre, 42 Oatley Ct, Belconnen","Wednesday 11 August 2021","6.40am","9:00pm","Casual Contacts","Casual Contacts ",-35.2420057,149.0575179
"","Gungahlin","Big W, Gozzard St, Gungahlin","Thursday 12 August 2021","2.40pm","3:00pm","Casual Contacts","Casual Contacts ",-35.1858957,149.1336469
"","Gungahlin","St George Bank, 30 Hibberson St, Gungahlin","Thursday 12 August 2021","2.40pm","3.10pm","Casual Contacts","Casual Contacts ",-35.1855895,149.1341257
"","Gungahlin","Commonwealth Bank, 33 Hibberson St Shops 23, 25 Gungahlin Mall, Gungahlin","Thursday 12 August 2021","3:00pm","3.20pm","Casual Contacts","Casual Contacts ",-35.1853356,149.1346788
