"Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","type","lat","lon"
"","ALDI Weston Creek","Cooleman Court Shopping Centre, Brierly Street","Weston","13/08/2021 - Friday","6:00pm","6:30pm","Casual","Casual ",-35.3414467,149.0525899
"","Woolworths Weston Creek","Cooleman Court Shopping Centre, Brierly Street","Weston","13/08/2021 - Friday","6:20pm","7:00pm","Casual","Casual ",-35.3412617,149.0526436
"","Coles Canberra City","Bunda Street and Petrie Plaza","Canberra City","13/08/2021 - Friday","6:55pm","7:30pm","Casual","Casual ",-35.2784476,149.1343475
"","7-Eleven Casey (Petrol Station)","10 Kingsland Parade","Casey","14/08/2021 - Saturday","7:30am","8:15am","Casual","Casual ",-35.175773,149.0957326
"","Coles","Westfield Belconnen, Benjamin Way","Belconnen","14/08/2021 - Saturday","9:20am","10:00am","Casual","Casual ",-35.237949,149.064837
"New","Woolworths Bonner","61 Mabo Blvd","Bonner","14/08/2021 - Saturday","11:15am","12 noon","Casual","Casual New",-35.1613889,149.1388889
"New","Woolworths Dickson","1 Dickson Place","Dickson","14/08/2021 - Saturday","11:20am","11:50am","Casual","Casual New",-35.249974,149.1386251
"New","About Health","2/22-25 Dickson Place","Dickson","14/08/2021 - Saturday","2:40pm","5:00pm","Casual","Casual New",-35.2506067,149.1392435
"New","The Source Bulk Foods","Shop 7/7, 30 Dickson Place","Dickson","14/08/2021 - Saturday","2:45pm","3:10pm","Casual","Casual New",-35.2506133,149.1397664
"New","Woolworths Dickson","1 Dickson Place","Dickson","14/08/2021 - Saturday","2:50pm","3:40pm","Casual","Casual New",-35.249974,149.1386251
"New","IGA Lyneham","1 Wattle Place","Lyneham","14/08/2021 - Saturday","4:15pm","5:00pm","Casual","Casual New",-35.2520717,149.1248594
"New","Coles","Gungahlin Place","Gungahlin","15/08/2021 - Sunday","9:30am","10:00am","Casual","Casual New",-35.1862806,149.136017
"New","Daily Market","137/43 Hibberson Street","Gungahlin","15/08/2021 - Sunday","10:00am","10:30am","Casual","Casual New",-35.1854965,149.1363642
"","Canberra Outlet Centre","377 Canberra Avenue","Fyshwick","08/08/2021 - Sunday","2:00pm","3:30pm","Monitor","Monitor ",-35.3366664,149.1784548
"","U14 girls AFL Ainslie Red vs Belconnen Black","Aranda Playing Fields","Aranda","08/08/2021 - Sunday","9:00am","11:30am","Monitor","Monitor ",-35.2809368,149.1300092
"","Casey Marketplace","15 Kingsland Parade","Casey","10/08/2021 - Tuesday","3:50pm","4:20pm","Monitor","Monitor ",-35.17447,149.0959449
"","Woolworths Phillip","Westfield Woden, Hindmarsh Dr & Melrose Drives","Phillip","10/08/2021 - Tuesday","5:30pm","6:30pm","Monitor","Monitor ",-35.3463199,149.0860576
"","Abode Hotel (Ground Floor only)","14 Kennedy St","Kingston","11/08/2021 - Wednesday","7:50am","7:00pm","Monitor","Monitor ",-35.31713,149.14108
"","Ochre Medical Centre","Level 1, Green Square Centre, 62 Jardine Street","Kingston","11/08/2021 - Wednesday","4:30pm","4:40pm","Monitor","Monitor ",-35.3158701,149.1414428
"","Abode Hotel (Ground Floor only)","14 Kennedy St","Kingston","12/08/2021 - Thursday","7:50am","7:00pm","Monitor","Monitor ",-35.31713,149.14108
"","Bunnings Tuggeranong","Anketell St, Greenway","Tuggeranong","11/08/2021 - Wednesday","10:15am","10:50am","Monitor","Monitor ",-35.4218444,149.0711101
"","Weston Creek Food Works","FoodWorks, 3, 40 Holder Pl, Holder","Holder","13/08/2021 - Friday","5:00pm","5:10pm","Monitor","Monitor ",-35.3365862,149.0440993
